[2026-02-12 12:13:42] CRITICAL: CPU = 82 (warn=70, crit=80)
[2026-02-12 12:13:54] CRITICAL: CPU = 94 (warn=70, crit=80)
[2026-02-12 12:14:45] CRITICAL: CPU = 86 (warn=70, crit=80)
[2026-02-12 12:15:53] WARNING: CPU = 71 (warn=70, crit=80)
[2026-02-12 12:16:25] WARNING: CPU = 79 (warn=70, crit=80)
[2026-02-12 12:16:31] CRITICAL: CPU = 167 (warn=70, crit=80)
[2026-02-12 12:17:02] WARNING: CPU = 73 (warn=70, crit=80)
[2026-02-12 12:17:21] WARNING: CPU = 74 (warn=70, crit=80)
[2026-02-12 12:18:42] CRITICAL: CPU = 95 (warn=70, crit=80)
[2026-02-12 12:19:13] CRITICAL: CPU = 88 (warn=70, crit=80)
[2026-02-12 12:19:19] CRITICAL: CPU = 104 (warn=70, crit=80)
[2026-02-12 12:20:10] CRITICAL: CPU = 96 (warn=70, crit=80)
[2026-02-12 12:20:28] CRITICAL: CPU = 105 (warn=70, crit=80)
[2026-02-12 12:20:35] CRITICAL: CPU = 88 (warn=70, crit=80)
[2026-02-12 12:20:47] CRITICAL: CPU = 85 (warn=70, crit=80)
[2026-02-12 12:20:53] CRITICAL: CPU = 80 (warn=70, crit=80)
[2026-02-12 12:23:54] WARNING: CPU = 71 (warn=70, crit=80)
[2026-02-12 12:25:47] CRITICAL: CPU = 151 (warn=70, crit=80)
[2026-02-12 12:25:53] CRITICAL: CPU = 207 (warn=70, crit=80)
[2026-02-12 12:25:54] CRITICAL: CPU = 183 (warn=70, crit=80)
[2026-02-12 12:26:16] CRITICAL: CPU = 100 (warn=70, crit=80)
[2026-02-12 12:26:31] CRITICAL: CPU = 88 (warn=70, crit=80)
[2026-02-12 12:26:31] WARNING: CPU = 77 (warn=70, crit=80)
[2026-02-12 12:27:02] CRITICAL: CPU = 122 (warn=70, crit=80)
[2026-02-12 12:32:14] CRITICAL: CPU = 103 (warn=70, crit=80)
[2026-02-12 12:32:17] CRITICAL: CPU = 84 (warn=70, crit=80)
[2026-02-12 12:32:45] CRITICAL: CPU = 146 (warn=70, crit=80)
[2026-02-12 12:32:46] CRITICAL: CPU = 146 (warn=70, crit=80)
[2026-02-12 12:32:51] WARNING: CPU = 78 (warn=70, crit=80)
